"Name","Created","State","train_size","hidden_layers","optimizer","train/loss","val/loss","flatness/train/avg_diff","denoising/train/avg_diff","flatness/val/avg_diff","denoising/val/avg_diff","seed","rho","train/epoch","denoising/train/mean_0.111","ID","Notes","User","Group","Job Type","Tags","Updated","End Time","Runtime","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","activation","batch_size","compile_model","cpu","criterion","cuda_version","dataset_dir","device","hostname","id","input_dim","lr","max_epochs","pytorch_version","target_loss","test_size","train_set_percentage_for_flatness","weight_decay","denoising/train/mean_0.000","denoising/train/mean_0.222","denoising/train/mean_0.333","denoising/train/mean_0.444","denoising/train/mean_0.556","denoising/train/mean_0.667","denoising/train/mean_0.778","denoising/train/mean_0.889","denoising/train/mean_1.000","denoising/train/std_0.000","denoising/train/std_0.111","denoising/train/std_0.222","denoising/train/std_0.333","denoising/train/std_0.444","denoising/train/std_0.556","denoising/train/std_0.667","denoising/train/std_0.778","denoising/train/std_0.889","denoising/train/std_1.000","denoising/val/mean_0.000","denoising/val/mean_0.111","denoising/val/mean_0.222","denoising/val/mean_0.333","denoising/val/mean_0.444","denoising/val/mean_0.556","denoising/val/mean_0.667","denoising/val/mean_0.778","denoising/val/mean_0.889","denoising/val/mean_1.000","denoising/val/std_0.000","denoising/val/std_0.111","denoising/val/std_0.222","denoising/val/std_0.333","denoising/val/std_0.444","denoising/val/std_0.556","denoising/val/std_0.667","denoising/val/std_0.778","denoising/val/std_0.889","denoising/val/std_1.000","flatness/train/mean_0.000","flatness/train/mean_0.017","flatness/train/mean_0.033","flatness/train/mean_0.050","flatness/train/mean_0.067","flatness/train/mean_0.083","flatness/train/mean_0.100","flatness/train/mean_0.117","flatness/train/mean_0.133","flatness/train/mean_0.150","flatness/train/std_0.000","flatness/train/std_0.017","flatness/train/std_0.033","flatness/train/std_0.050","flatness/train/std_0.067","flatness/train/std_0.083","flatness/train/std_0.100","flatness/train/std_0.117","flatness/train/std_0.133","flatness/train/std_0.150","flatness/val/mean_0.000","flatness/val/mean_0.017","flatness/val/mean_0.033","flatness/val/mean_0.050","flatness/val/mean_0.067","flatness/val/mean_0.083","flatness/val/mean_0.100","flatness/val/mean_0.117","flatness/val/mean_0.133","flatness/val/mean_0.150","flatness/val/std_0.000","flatness/val/std_0.017","flatness/val/std_0.033","flatness/val/std_0.050","flatness/val/std_0.067","flatness/val/std_0.083","flatness/val/std_0.100","flatness/val/std_0.117","flatness/val/std_0.133","flatness/val/std_0.150","train/bias_norm","train/denoising_avg_diff","train/flatness_avg_diff","train/weight_norm","val/denoising_avg_diff","val/epoch","val/flatness_avg_diff"
"cheerful-festival-288","2024-02-21T08:20:43.000Z","finished","32768","[784,784,15]","SAM","0.04599781706929207","0.0515661658719182","0.001912340237759047","0.00834685410372913","0.0018408941756934","0.00798176207269232","9","0.1","31","0.045966412872076035","70bgy08a","-","mattia-scardecchia","","","","2024-02-21T08:23:26.000Z","2024-02-21T08:23:26.000Z","163","","gnode02","","851ecd25e5397417dcf5d13e8443cbab2b159ab9","https://github.com/MattiaSC01/HM/tree/851ecd25e5397417dcf5d13e8443cbab2b159ab9","1","NVIDIA A100 80GB PCIe","ReLU","64","true","x86_64","MSELoss","12.1","data/MNIST","cuda","gnode02","mnist-train","784","0.0005","31","2.2.0","0","512","0.015625","0.1","0.04573616711422801","0.046934408601373434","0.04833051081125935","0.050131799963613353","0.05295505110795299","0.05609084898605943","0.06008685970058044","0.06463112744192283","0.06996702558050553","0","0.000017726252258861345","0.00007319740612123855","0.000058630741333917945","0.00015836346038303702","0.0001849412006196838","0.0002613455967076213","0.00037527556597605416","0.0005223127041830971","0.0006012157722283761","0.0515661658719182","0.051852818268040814","0.052718534444769226","0.05392525034646193","0.05608765594661236","0.0584279065951705","0.06150705460458994","0.06501409194121759","0.06959797193606694","0.07478182949125767","0","0.000014791000963663283","0.00005602780441566569","0.00006118483505144603","0.00008751111426891454","0.0000432654075867202","0.000018417294475661663","0.00008898228575214304","0.00015953893988049012","0.0005281009709183376","0.04573616711422801","0.04579103817231953","0.04603802491910756","0.04628836507909","0.04677271004766226","0.04740261198021471","0.048198256036266686","0.049050295259803534","0.05013868878595531","0.05106891612522304","0","0.00005140292433418344","0.00007854096928305816","0.00014886964202298668","0.00022773737997334437","0.0001248327421063032","0.0001963785061495745","0.0002541771364006707","0.0003868742551164842","0.00037714419874239623","0.0515661658719182","0.05163287799805403","0.05182368569076061","0.05216606399044395","0.05263638626784086","0.05312019418925047","0.05383575418964028","0.05477251261472702","0.055561479181051254","0.056955480482429266","0","0.0000604886766656577","0.0001286427461729155","0.00013662866621331655","0.00019658018310002472","0.00022585851593495275","0.00016590756897303283","0.0002445012790492348","0.0002571453721269797","0.0002782693927363229","0.0035994050558656454","0.00834685410372913","0.001912340237759047","0.00005816313932882622","0.00798176207269232","31","0.0018408941756934"
"vibrant-springroll-287","2024-02-21T08:18:19.000Z","finished","32768","[784,784,15]","AdamW","0.044757045805454254","0.050165265798568726","0.004065679335035384","0.014044897320369884","0.003931541405618202","0.013670953642576936","9","","31","0.044902980948487915","axbrhd9k","-","mattia-scardecchia","","","","2024-02-21T08:20:40.000Z","2024-02-21T08:20:40.000Z","141","","gnode02","","851ecd25e5397417dcf5d13e8443cbab2b159ab9","https://github.com/MattiaSC01/HM/tree/851ecd25e5397417dcf5d13e8443cbab2b159ab9","1","NVIDIA A100 80GB PCIe","ReLU","64","true","x86_64","MSELoss","12.1","data/MNIST","cuda","gnode02","mnist-train","784","0.0005","31","2.2.0","0","512","0.015625","0.1","0.04437130922451615","0.04647158722703656","0.0491281949604551","0.05220702259490887","0.05698254285380244","0.06229715282097459","0.06832699167231719","0.07622878936429818","0.08324549378206332","0","0.00004462698918249626","0.00012418175669849614","0.000247630737349752","0.00016727257407550387","0.0002180315536848791","0.00048541831882619054","0.0004780428216967575","0.0007022316442627765","0.0012087069063736178","0.050165265798568726","0.05064500464747349","0.052125273272395134","0.05439740760872761","0.05788671659926573","0.062369159422814846","0.06718963446716468","0.07398511717716853","0.08076408443351586","0.08883453098436196","0","0.000031445047316803546","0.00009936347509034625","0.0002019947153713745","0.0003305586969322591","0.00024333889462334113","0.00027242909610580986","0.0002440238784929694","0.0002624731134730794","0.0006865241653699049","0.04437130922451615","0.04452953757718205","0.0449655881151557","0.045661571575328706","0.04657867979258299","0.047855577897280455","0.04943238478153944","0.05116906752809882","0.05371808218769729","0.05608808691613376","0","0.00007275155958405166","0.00008519370127347799","0.00013812072052863327","0.00022361096693237283","0.0004023570945652146","0.0003134382301080662","0.0005146775969737947","0.0005406702598858512","0.0008446311336732929","0.050165265798568726","0.05030606621876359","0.05076089762151241","0.05140814846381545","0.05229804469272494","0.05370262032374739","0.05485447086393833","0.056616909243166445","0.05939318686723709","0.061462461948394775","0","0.00007268194019638871","0.00016861720490897502","0.0002072056737289959","0.00026304734441630307","0.0004974183240549001","0.00048138168467233046","0.0003405337763983543","0.0006856339144344693","0.0008268591877396827","0.001983381574973464","0.014044897320369884","0.004065679335035384","0.000055374624935211614","0.013670953642576936","31","0.003931541405618202"
"brilliant-noodles-286","2024-02-21T08:13:50.000Z","finished","16384","[784,784,15]","SAM","0.042405497282743454","0.05501759052276611","0.002122912048362194","0.007981693154821792","0.0019490580353885845","0.007425398907313752","9","0.1","62","0.044809173326939344","zaj04c8a","-","mattia-scardecchia","","","","2024-02-21T08:18:17.000Z","2024-02-21T08:18:17.000Z","267","","gnode02","","851ecd25e5397417dcf5d13e8443cbab2b159ab9","https://github.com/MattiaSC01/HM/tree/851ecd25e5397417dcf5d13e8443cbab2b159ab9","1","NVIDIA A100 80GB PCIe","ReLU","64","true","x86_64","MSELoss","12.1","data/MNIST","cuda","gnode02","mnist-train","784","0.0005","62","2.2.0","0","512","0.03125","0.1","0.04452846338972449","0.04563016568621","0.04703704252218207","0.048903393714378275","0.05138487492998441","0.05447917555769285","0.058213029988110065","0.06269974075257778","0.06741650557766359","0","0.00009778644365374132","0.00004644165499649273","0.00005397188696249818","0.000223651764441482","0.00003299611763220292","0.00026327255229660103","0.00015564029260587973","0.0002540621379455222","0.0008306684217180037","0.05501759052276611","0.05526348544905583","0.05601009353995323","0.05722529130677382","0.05889081861823797","0.061600164510309696","0.06433402374386787","0.06761676135162513","0.0720105388512214","0.0764611264069875","0","0.00002476666802672592","0.00005950210135673345","0.000053302487562354645","0.00011712803255370056","0.0000999121919215204","0.00002573714792920652","0.00032052552728467794","0.0005100269447148851","0.00020209153945667757","0.04452846338972449","0.044596133893355726","0.0447808793745935","0.045227148989215496","0.04584060260094702","0.0463554797694087","0.04730422617867589","0.048188388859853146","0.04926048689521849","0.05043194442987442","0","0.000034167330591424604","0.00007915628722770592","0.0001470089463511133","0.00017267857356341332","0.00021332164063513136","0.00033304504958707297","0.0002005910410727366","0.00031062169049503845","0.00047487226802262703","0.05501759052276611","0.05508031761273742","0.055302494950592515","0.0556159907951951","0.056112656090408566","0.05678202351555228","0.05750438794493675","0.05845281854271889","0.05927905896678567","0.060519146639853715","0","0.00003422764159866848","0.00009003058317942884","0.00013841856614962064","0.00011891998950532314","0.00013979015783682582","0.00023265926865632968","0.00020853179453576937","0.00038987456764930854","0.0005010795117255569","0.0038150595501065254","0.007981693154821792","0.002122912048362194","0.00006215631583472714","0.007425398907313752","62","0.0019490580353885845"
"enchanting-fireworks-285","2024-02-21T08:09:38.000Z","finished","16384","[784,784,15]","AdamW","0.04224087297916413","0.05319228023290634","0.004374852925539012","0.013701454301675152","0.004099397277459504","0.012482635055979102","9","","62","0.043555974029004574","z2eac6lh","-","mattia-scardecchia","","","","2024-02-21T08:13:48.000Z","2024-02-21T08:13:48.000Z","250","","gnode02","","851ecd25e5397417dcf5d13e8443cbab2b159ab9","https://github.com/MattiaSC01/HM/tree/851ecd25e5397417dcf5d13e8443cbab2b159ab9","1","NVIDIA A100 80GB PCIe","ReLU","64","true","x86_64","MSELoss","12.1","data/MNIST","cuda","gnode02","mnist-train","784","0.0005","62","2.2.0","0","512","0.03125","0.1","0.04307248955592513","0.04495365219190717","0.0474357937152187","0.050940013801058136","0.05521003669127822","0.05970625098173817","0.06701606760422389","0.0741042032216986","0.08174495678395033","0","0.00002167729753052525","0.0000923060548309921","0.00013511384193734362","0.00032647117483208593","0.00009078712736056816","0.0004493199687953926","0.00008171856067737777","0.0006261100263993593","0.0006933225053239042","0.05319228023290634","0.05363304944088062","0.054902165196835995","0.0571546433493495","0.05999810590098301","0.06444073840975761","0.06896120496094227","0.07437470741569996","0.08104089833796024","0.08905135964353879","0","0.000043019377480568534","0.0000909690351569056","0.00004505004908722438","0.00011314005433981366","0.0001271826082044373","0.00007759286130923452","0.0003010058830830049","0.00009130821980272896","0.0005587171995092001","0.04307248955592513","0.04319328791461885","0.043701275577768685","0.044248115131631495","0.045559406746178865","0.04705000044777989","0.04867899245582521","0.05066450722515583","0.052720739785581824","0.05558460997417569","0","0.00010466297725427746","0.00015711825897741","0.00018543605382213377","0.00023878146813139268","0.0006551688390990349","0.0007120518197004529","0.0006972130310353723","0.0009173034771833932","0.0010890129077399887","0.05319228023290634","0.0533779738470912","0.05378646217286587","0.054477978777140376","0.05553426621481776","0.05688005406409502","0.05833387579768896","0.059756791964173314","0.062265784665942195","0.0653113073669374","0","0.00006922933223262399","0.00014712049890043568","0.0002697498304485098","0.000559483768006031","0.00045348818551543585","0.0003687570171533582","0.0009073791533637804","0.0006511627937781879","0.0010358256229412637","0.0018160337349399924","0.013701454301675152","0.004374852925539012","0.00005921423144172877","0.012482635055979102","62","0.004099397277459504"
"vermilion-snake-284","2024-02-21T08:05:09.000Z","finished","8192","[784,784,15]","SAM","0.03633835539221763","0.06108640693128109","0.0022867436986416592","0.0073658208828419475","0.0018925262335687948","0.006481059640645978","9","0.1","125","0.03926875675097108","pjwgep2d","-","mattia-scardecchia","","","","2024-02-21T08:09:35.000Z","2024-02-21T08:09:35.000Z","266","","gnode02","","851ecd25e5397417dcf5d13e8443cbab2b159ab9","https://github.com/MattiaSC01/HM/tree/851ecd25e5397417dcf5d13e8443cbab2b159ab9","1","NVIDIA A100 80GB PCIe","ReLU","64","true","x86_64","MSELoss","12.1","data/MNIST","cuda","gnode02","mnist-train","784","0.0005","125","2.2.0","0","512","0.0625","0.1","0.03901365678757429","0.03997347736731171","0.041189551974336304","0.042938874724010624","0.04515517440934976","0.04851452338819703","0.051641061125944056","0.05562036453435818","0.06047933564210931","0","0.00004767725624008557","0.00003821919420564138","0.00007559036135034598","0.000004221898135538388","0.00018463580237338244","0.0003249560746582003","0.00002274279578905941","0.0008611005921673886","0.0007786614492414467","0.06108640693128109","0.06124397708723942","0.06199219822883606","0.06302302361776431","0.06478866903732221","0.06669330969452858","0.06929676824559768","0.07221382980545361","0.0756586380302906","0.07967784504095714","0","0.0001019660859960074","0.00012852653213303442","0.00011743679993905364","0.000292795147177237","0.00010260632331673666","0.0005332594543994614","0.0003812172458431256","0.00025442020915472364","0.000789271311667044","0.03901365678757429","0.03911729198880494","0.039336110232397914","0.03975768499076367","0.040352242346853015","0.040943624218925834","0.04194441116414964","0.042907883506268264","0.04409263599663973","0.0455384636297822","0","0.00003575565146150611","0.00007306829249910485","0.00008715817027641396","0.00013927381018340564","0.00014309630662417963","0.0002399089323296213","0.00026899000355427654","0.0003587924696956621","0.000398486023026585","0.06108640693128109","0.06115606399253011","0.061364085879176855","0.06169574316591024","0.06223518652841449","0.06262130560353399","0.06354274349287152","0.0643420547246933","0.06527143195271493","0.06647430937737227","0","0.00003074249824452553","0.00012274934168428982","0.00015980182146286683","0.0001221655787779672","0.0002137536872826008","0.00025375348592036694","0.00031221183913912555","0.00032420013703189047","0.0005821896965269984","0.004162021446973085","0.0073658208828419475","0.0022867436986416592","0.00006641412619501352","0.006481059640645978","125","0.0018925262335687948"
"abundant-snake-283","2024-02-21T08:00:41.000Z","finished","8192","[784,784,15]","AdamW","0.0371699184179306","0.06216906663030386","0.0049761292524635806","0.013080520446722713","0.00436868947930634","0.011106473393738284","9","","125","0.04022085014730692","iv2qgo1k","-","mattia-scardecchia","","","","2024-02-21T08:05:06.000Z","2024-02-21T08:05:06.000Z","265","","gnode02","","851ecd25e5397417dcf5d13e8443cbab2b159ab9","https://github.com/MattiaSC01/HM/tree/851ecd25e5397417dcf5d13e8443cbab2b159ab9","1","NVIDIA A100 80GB PCIe","ReLU","64","true","x86_64","MSELoss","12.1","data/MNIST","cuda","gnode02","mnist-train","784","0.0005","125","2.2.0","0","512","0.0625","0.1","0.03978349547833204","0.0416510373664399","0.04403715875620643","0.04712121235206723","0.05135020334273577","0.05670810040707389","0.06259075381482641","0.06867030821740627","0.07650703936815262","0","0.000032571910567809064","0.00009064632776284823","0.00008581028724330132","0.000247607559153627","0.00015501376222293208","0.0007323874883283086","0.0003373694109613384","0.000677030940406427","0.000330161120845144","0.06216906663030386","0.06251770568390687","0.06371685148527224","0.06557519423464934","0.06847652855018775","0.07187076782186826","0.07602679791549842","0.0810732791821162","0.08696818103392918","0.09436102770268916","0","0.0000030081979141161296","0.00004478220515089165","0.0001628584756513264","0.00012856250838813932","0.00013110123556499772","0.0001878252029514332","0.000969955723853583","0.0007204818748800172","0.0016601332380873194","0.03978349547833204","0.039979421673342584","0.04043754222802818","0.04126181951723993","0.042559006297960875","0.04419058212079108","0.04564508930779994","0.04854047489352524","0.05089607224799693","0.05430274354293942","0","0.00007783972927488603","0.0001774561550969932","0.00020019739898161085","0.0005514501758992461","0.0002939921737151026","0.00042002690673988017","0.0007670223683539523","0.0005549295334191444","0.0011040340812480845","0.06216906663030386","0.062292737606912854","0.06275111474096776","0.06375833852216602","0.06462181927636265","0.06618871269747614","0.06790554728358984","0.06977979131042958","0.07176857469603419","0.07414185833185911","0","0.0000772306378630815","0.00020824231945334743","0.00046135602239837954","0.0005474070657860916","0.0005468012376328579","0.0006790266530330527","0.0009540280190199964","0.0009951334751838032","0.0007346387064709068","0.001911238068714738","0.013080520446722713","0.0049761292524635806","0.00006253638275666162","0.011106473393738284","125","0.00436868947930634"
"floating-firecracker-282","2024-02-21T07:56:36.000Z","finished","4096","[784,784,15]","SAM","0.033012062311172485","0.07362358830869198","0.002319360957480969","0.0062100086671610655","0.0017220504581928198","0.005384233718117082","9","0.1","250","0.03504174683863918","upo6rgxg","-","mattia-scardecchia","","","","2024-02-21T08:00:39.000Z","2024-02-21T08:00:39.000Z","243","","gnode02","","851ecd25e5397417dcf5d13e8443cbab2b159ab9","https://github.com/MattiaSC01/HM/tree/851ecd25e5397417dcf5d13e8443cbab2b159ab9","1","NVIDIA A100 80GB PCIe","ReLU","64","true","x86_64","MSELoss","12.1","data/MNIST","cuda","gnode02","mnist-train","784","0.0005","250","2.2.0","0","512","0.125","0.1","0.03484050603583455","0.035616629446546234","0.036611331005891166","0.0379366638759772","0.04023739214365681","0.04235423201074203","0.04534774894515673","0.04904536452765266","0.05347353219985962","0","0.00004676751932775611","0.00005625304129984529","0.00004973703722310379","0.00020515477674882605","0.00016160316592853016","0.0002142829190471274","0.00015109832671415075","0.0004408336915854457","0.000580463212261377","0.07362358830869198","0.07370027340948582","0.07435805847247441","0.07535056273142497","0.07672556551794212","0.07806784783800443","0.08070342615246773","0.08270407654345036","0.08551483539243539","0.08932998590171337","0","0.00008294930165818222","0.00008510135217540343","0.00021088155646941523","0.00026872686821015075","0.00046911867296709246","0.00017829167449602958","0.0005816501065928374","0.0004451729429572845","0.000416356298879467","0.03484050603583455","0.034950207779183985","0.035200536949560046","0.03568944064900279","0.036005070758983494","0.037023591063916686","0.037600531661883","0.03868000311776996","0.04030401268973947","0.04130476922728121","0","0.00008100353770804235","0.00010695181954580282","0.0002325996926855349","0.0002733345655201338","0.0005807197507716468","0.00035088366948130516","0.000427405999961572","0.0005978514228267449","0.0006418352978785466","0.07362358830869198","0.07364999987185002","0.07390915937721729","0.07412403542548418","0.07452723402529955","0.07517163772135974","0.07610645238310099","0.07649857830256224","0.07764044273644685","0.07820525951683521","0","0.00006923766393959363","0.00016117371175783694","0.0002495880088625854","0.0003021125166838008","0.0003457442840043492","0.0004853428722333678","0.0005224611617743485","0.0007240393466333582","0.0006097616330808965","0.00458250567317009","0.0062100086671610655","0.002319360957480969","0.00007068847480695695","0.005384233718117082","250","0.0017220504581928198"
"festive-goat-281","2024-02-21T07:52:57.000Z","finished","4096","[784,784,15]","AdamW","0.03376954421401024","0.07298092916607857","0.004907488371245564","0.011096545696879428","0.003839232884347441","0.008828269069393477","9","","250","0.03506911592558026","5hbtj5kl","-","mattia-scardecchia","","","","2024-02-21T07:56:34.000Z","2024-02-21T07:56:34.000Z","217","","gnode02","","851ecd25e5397417dcf5d13e8443cbab2b159ab9","https://github.com/MattiaSC01/HM/tree/851ecd25e5397417dcf5d13e8443cbab2b159ab9","1","NVIDIA A100 80GB PCIe","ReLU","64","true","x86_64","MSELoss","12.1","data/MNIST","cuda","gnode02","mnist-train","784","0.0005","250","2.2.0","0","512","0.125","0.1","0.03465160354971886","0.036220025892059006","0.03818018160139521","0.040796610061079264","0.04441447866459688","0.04849293874576688","0.053916210774332285","0.05967400114362439","0.06606632610782981","0","0.000024116926084858485","0.00011857079060428556","0.00013851128602008445","0.00010840471929961086","0.0004569757764242832","0.0006982482688194893","0.00022219259400916105","0.0002691617691801454","0.0008372324387190648","0.07298092916607857","0.07326321738461654","0.07416729256510735","0.07574626182516415","0.07807201519608498","0.08076859700183074","0.08393273999293645","0.08839642194410165","0.092650327210625","0.098114180068175","0","0.0001221841245471863","0.00013760366647370617","0.00023178156822716044","0.000032050960499615776","0.00020595635899742527","0.0006863583037008852","0.0006008374277487029","0.0004286590826946606","0.0008360630218930458","0.03465160354971886","0.03478961633518338","0.03525137091055512","0.03619591901078821","0.03741304865106941","0.03891816888935864","0.040801406977698206","0.04315161812119186","0.045604415237903595","0.04881375152617693","0","0.00008127596115877006","0.00024485511880540273","0.0002319696664614843","0.00027390020001585614","0.000504112970245576","0.0008437575084609361","0.00041686087786025374","0.0008070889771446474","0.0009424558172305464","0.07298092916607857","0.07308751996606588","0.07343000639230013","0.07423517946153879","0.0751085227355361","0.07633647471666336","0.07795207891613246","0.07943873107433319","0.08143261037766933","0.08419956769794226","0","0.00011426751599151272","0.00019767309326034537","0.0002491168232946872","0.00047068420180812015","0.000490855041642233","0.0006020372906329932","0.0008503265195653552","0.0005456660207344932","0.000918142523689871","0.002557534957304597","0.011096545696879428","0.004907488371245564","0.0000658776771160774","0.008828269069393477","250","0.003839232884347441"
"vibrant-kumquat-280","2024-02-21T07:48:09.000Z","finished","2048","[784,784,15]","SAM","0.020065676420927048","0.08503127470612526","0.0029007206275127803","0.006011511959756417","0.001843408551067113","0.0059255193918943405","9","0.1","500","0.021462463463346165","mex535p2","-","mattia-scardecchia","","","","2024-02-21T07:52:54.000Z","2024-02-21T07:52:54.000Z","285","","gnode02","","851ecd25e5397417dcf5d13e8443cbab2b159ab9","https://github.com/MattiaSC01/HM/tree/851ecd25e5397417dcf5d13e8443cbab2b159ab9","1","NVIDIA A100 80GB PCIe","ReLU","64","true","x86_64","MSELoss","12.1","data/MNIST","cuda","gnode02","mnist-train","784","0.0005","500","2.2.0","0","512","0.25","0.1","0.021317285485565662","0.021970734543477494","0.02287060876066486","0.024030467262491584","0.025960566631207865","0.02828028262592852","0.03126145953622957","0.03558503556996584","0.0405490705743432","0","0.000016738605423691707","0.00004890265520435066","0.00010718383301762784","0.00018097377848132768","0.00014911630413564196","0.00016205263284227366","0.0007150220604056147","0.0006282130646091031","0.00046751907886110776","0.08503127470612526","0.08513495201865832","0.08581687199572723","0.08683096989989281","0.08826994585494201","0.08982259159286816","0.09200848080217838","0.09517995143930118","0.0986027525117","0.10287015015880269","0","0.00004327771851033426","0.00013528132778876115","0.0001164262266416116","0.0002388721978435894","0.0003501865068997349","0.0004424256765330715","0.0004512307935036233","0.00020259034196419803","0.0005890840300823255","0.021317285485565662","0.021399325458332896","0.021724438248202204","0.02225559772923589","0.02298878461588174","0.023939935304224492","0.02492946379352361","0.02622051043435931","0.027802182687446476","0.029602537374012177","0","0.00003687078215961287","0.00003266487643771958","0.00011148673954497042","0.00009921439758541784","0.0001129506173254474","0.00017353622359501933","0.0003755208815181463","0.00024755271553719894","0.0004094053075083229","0.08503127470612526","0.08508410714566708","0.08527334835380315","0.08555428050458432","0.08599661309272051","0.08672401700168848","0.08738824035972356","0.08824522346258164","0.08906124103814364","0.0903884869068861","0","0.00003791990029823173","0.00007286849168646545","0.0001212730251076596","0.00016980943826472075","0.0002524287937947276","0.00022691173514337895","0.0003320549874983477","0.00035606644404674066","0.00040125418541180665","0.004967003595083952","0.006011511959756417","0.0029007206275127803","0.00007278424163814634","0.0059255193918943405","500","0.001843408551067113"
"vibrant-cake-279","2024-02-21T07:43:48.000Z","finished","2048","[784,784,15]","AdamW","0.024553019553422928","0.08683416619896889","0.004891345333307977","0.008237469545565548","0.0032341699674725416","0.006955937109887608","9","","500","0.02572976254547636","p9cs9dkt","-","mattia-scardecchia","","","","2024-02-21T07:48:07.000Z","2024-02-21T07:48:07.000Z","259","","gnode02","","851ecd25e5397417dcf5d13e8443cbab2b159ab9","https://github.com/MattiaSC01/HM/tree/851ecd25e5397417dcf5d13e8443cbab2b159ab9","1","NVIDIA A100 80GB PCIe","ReLU","64","true","x86_64","MSELoss","12.1","data/MNIST","cuda","gnode02","mnist-train","784","0.0005","500","2.2.0","0","512","0.25","0.1","0.025525846984237432","0.026487834208334487","0.02772601748195787","0.029569295623029273","0.032491193152964115","0.03549409688760837","0.03979793687661489","0.04456762953971823","0.050243551998088755","0","0.00006723025421910096","0.00003929916614169771","0.00001748972854365882","0.00008487416951398954","0.00027736696906746297","0.00026105911597955355","0.00064183706691319","0.001303039421343813","0.00022451842368801777","0.08683416619896889","0.08706381482382615","0.08779078163206577","0.08894925005733967","0.09076411897937456","0.09301719504098098","0.09524803857008617","0.09893783864875634","0.10274708457291126","0.10654874456425507","0","0.00003739680571759567","0.00021828587514979392","0.00016642753338137593","0.0004734201700990053","0.0003494726455407691","0.00005319052817096954","0.0004116757649135793","0.00042452184549866503","0.001160736889443369","0.025525846984237432","0.02574017618317157","0.026198096596635877","0.026940979016944765","0.028261044574901462","0.029710293584503233","0.03191793079022318","0.033679487835615876","0.036688329791650175","0.03950973781757057","0","0.00010447394107920278","0.0002079647538238644","0.00027999552999217797","0.0004654980958753782","0.0005075953459917991","0.0004969160934639025","0.0006751833890697161","0.0015047767164573355","0.0012818232323308935","0.08683416619896889","0.08695586007088422","0.08736488576978445","0.08779792413115502","0.08859460800886154","0.08964095655828715","0.09115901608020067","0.09228105060756206","0.09406228959560396","0.09599260464310648","0","0.0000771393747989921","0.00015491654416229758","0.0002062593016525209","0.0003549610147729857","0.00022765777161849472","0.000515128630116485","0.0007225414264148173","0.0006291800215829903","0.0010993181785213836","0.003857581177726388","0.008237469545565548","0.004891345333307977","0.00007039383490337059","0.006955937109887608","500","0.0032341699674725416"
